1,14,14,540,2
2,6,6,417,0
3,10,10,716,3
4,11,11,630,3
5,13,13,519,2
6,4,4,407,0
7,7,7,447,0
8,15,15,483,2
9,2,2,435,0
10,1,1,495,2
11,9,9,462,2
12,3,3,517,2
13,12,12,468,2
14,5,5,370,0
15,17,17,488,2
16,8,8,423,0
17,16,16,523,2
18,17,17,499,2
19,10,10,512,2
20,5,5,353,0
21,3,3,471,2
22,9,9,456,2
23,14,14,487,2
24,1,1,480,2
25,6,6,365,0
26,16,16,443,0
27,2,2,449,0
28,15,15,442,0
29,7,7,430,0
30,11,11,486,2
31,13,13,538,2
32,8,8,405,0
33,12,12,470,2
34,4,4,371,0
35,12,12,432,0
36,3,3,446,0
37,8,8,421,0
38,2,2,446,0
39,17,17,426,0
40,16,16,453,2
41,6,6,368,0
42,13,13,503,2
43,14,14,562,2
44,9,6,464,1
45,7,7,449,0
