1,13,13,378,0
2,4,4,401,0
3,17,17,0,2
4,2,2,406,0
5,8,8,399,0
6,16,16,465,0
7,1,1,481,0
8,5,5,357,0
9,7,7,615,2
10,6,6,387,0
11,3,3,481,0
12,9,9,388,0
13,12,12,608,2
14,11,11,536,0
15,14,14,517,0
16,10,10,461,0
17,15,15,464,0
18,13,13,356,0
19,11,11,661,2
20,10,10,483,0
21,5,5,464,0
22,1,1,460,0
23,15,15,474,0
24,12,12,557,2
25,16,16,0,2
26,6,6,451,0
27,4,4,396,0
28,14,14,484,0
29,9,9,419,0
30,2,2,516,0
31,7,7,469,0
32,3,3,477,0
33,17,17,478,0
34,8,8,420,0
35,17,17,534,0
36,16,16,461,0
37,14,14,482,0
38,2,2,508,0
39,5,5,336,0
40,9,9,391,0
41,3,3,535,0
42,7,7,459,0
43,6,6,454,0
44,15,15,467,0
45,13,13,407,0
